gene	PMID_PMCID	evidence
ENSG00000019991	16791285	DisGeNET
ENSG00000023330	34885088	OpenTargets
ENSG00000023909	33387904,17158454,27064872,33777321,34067571,34577027,10415149,33520086,35142995,17291629,17109620,25549939,21829542,23704229,16647047,9641255,25446857,8080243,33232417,32020857,26116522,20535554,26598004,33431776,35044760,33281897,33724802,10529477,32321640,25545062,9783733,28380329,23402822,14988435,9856280,20851755,6147392	PubChem
ENSG00000025423	2573072,15236401,16112330,27635664,32641622,23075798,32873764,29197144,17959149,20097158,24775711,18535905,25247703,35672765,16378642,11351130,11983518,9413846,17274529,22185664,26983927	PubChem
ENSG00000026025	8689028,14627698,15228595,14645198,14519684,11724769,8797670,20079158,15567525,12937272,1523971,15271249,19327351,19330857,19609938,32088380,27230040,22815935,31335998,7936201,33298969,1336814,22577599,31795317,29593121,31396803,10344791	PubChem
ENSG00000026103	15573406,31669235,10809400,12666099,9469581,29259496,35533351,29086247,23821384,29428223,29665408	PubChem
ENSG00000026508	22779921,19457162,32540366,19412574,20415529,21720700,29519253,23692556	PubChem
ENSG00000027644	26239690,24872015,26907583,26999031,34718963,35224798	PubChem
ENSG00000028137	30081046,22110694,22572473,12429221,15670651,24475283,25834699,11358437,27815842,7720819,35667491,18925972,9013604	PubChem
ENSG00000030582	21858182,25578179,27341800,24998994,29956281,24804730,18342564,29956265,28923025,28985717,24252647,24064467,33550528,35695987,23831682,28003435,31996268,30258234,24499616,35346091,25478031,24684749	PubChem
ENSG00000034677	15456787,17982729,22760261,18586549,12413654	PubChem
ENSG00000034713	23690988,21684337,22959883,31487916,32035240,17622797,30426321	PubChem
ENSG00000035664	29748634,20090955,29414102,31261893,25118928,33497031,35606853,34586801,30240821,24021799	PubChem
ENSG00000043143	31701892	OpenTargets
ENSG00000044574	26864693,23618865,30755590,15132987,34830414,32888283,31100053,21857923,21266243,23319378,15228595,17490626,29650257,30088174,34520759,31034889,20615443,18384645,19375464,32647341,32651640,20974203,14739562,25732873,20018221,30128145,16340157,21056633,27513201,16036795,27097550,22703470,18694499,15585578,20493918,24638036,22552270,30037364,24846311,31883812,18395193,28082123,22434142,31306618,30796752,30914252,25107299,19571389,32189544,32762399,26187664,26264395,12598533,11720765,35654124,28687316,28767194,31341250,19114067,30625371,29784843,29727730,31055769,30411383,20131035,31608477,31795317,24586351,28193519,28146110,28914791	miRTex,PubChem
ENSG00000047457	28632695,18307039,16464747,16755382,16150804,15557511,15105274,29203265,22288465,28874056,25758665,30243884,25218846,31733982,12151537,18804145,21949858,29981876,8944032,19159062,21109502,21706376,26537957,12478613,22286308,20629144,29452354,25011704,12865518,28233916,26077029,26146528,16352311,16269323,25656940,26000822,25943368,11425282,27578012,27107558,34310628,34537326,34384868,21865760,12453634,23536801,18672391,12561083,23298529,7487543,8442396,22515740,17727827,33127410,18409692,24342654,32771603,10608487,10528302,21274654,22940761,24954801,24672633,25224679,25496901,9729418,11068853,33974312,33949744,23043066,22171055,20447447,23424051,12856480,15210960,10327154,29733522,8955522,1469436,20026314,23105815,28811697,35137973,29748743,29748849,29577200,24435851,8221705,17101452,20981230	DisGeNET,PubChem
ENSG00000048052	19144721,27785754,26657418,21377170,32572814,26939763,26040297,21941604,29273397,32167238,28823893,35104487,34800614,24525422	PubChem
ENSG00000049541	31336695,31540955,23145024,27366949,24246717,32710729,33900518,26468157,34099586	PubChem
ENSG00000049768	26548343,26016368,27055651,29246926,33986285,22974722,26453752,21476611	PubChem
ENSG00000050748	25496994,11162638,14704277,19527717,19014392,24938188,12868068,34783140,34681742,26649727,15023353,11181820,34519134,22781654,20534003,26363191,30823626,22539619,25747493,30518111,9452508,31858376,33716081,33672296,16687388,16987235,16989807,12062470,11810403,24253317,20230279,25217804,20670675,20673835,26515688,22894569,26861286,29534526,29904013,30011811,30200569,24618100,29995265,26957005,26988860	PubChem
ENSG00000052344	33513387,25894999,29769405,20962236,19048081,19282869,19118185,29855523,22912494,20304780,22035660,15961413,20064504,17906618,24138030,24522549,23831022,22354088,20014998,15804428,12917442,19150438,20026244,30755067,10336638,18221368,20034566,29993134,34780474,14570706,21138942,21426348,16390825,20074624,19203374,26170293,34838642,25617759,26101826,30877431,29147901,29050400,12855764,14665635,31054074,15219840,12914946,26719332,23951044,17596374,16160162,24558048,21163861,19763263,24798695,18401856,30329047,32035284,19747490,20403393,30528390,23766857,35313355,9196054,15779083,32012164,31371089,22228183,25766616,10842583,26671142,28258548,32971086,16313802,25994206,27556455,16096758,22016521,29185711,18686046,18673214,26302060,22675361,11311863,12911630,18399961,12503089,12387358,9648855,12846980,16626168,12672463,12559001,29549796,29133563,18808659,31612876,16755381,17005155,17878957,19285001,25125459,20155936,15672541,26228656,27276528,17017569,12149120,22938097,12590943,18230346,18174901,24657776,24675778,7670362,9769023,20637318,11009208,11029607,33531005,33523018,16806074,35595958,28758631,19022306,22205977,28866823,21698752,17456777,8737597,9850924,16787846,35182267,35287553,28487126,28508364,1899691,15063528,35023303,35462005,12235797,15070401,28096242,28096244,9369987,19689241,23259318,23874440,31147858,31203412,19737600,10348491,16549224,27742410	PubChem
ENSG00000054983	29481565,20052410,30127535,35181782,34080016,30279220,10344791	PubChem
ENSG00000055130	31167929,35701754,12628165,19748892,16186628,20082978	PubChem
